Country code,Country name,Year,EnergyUse_perCapita,CO2_Emissions,GDP,Population
AGO,Angola,1990,569.242999454671,4429.736,10260193360.6806,10335052.0
AGO,Angola,1991,565.451027196188,4367.397,12193746624.6789,10653515.0
AGO,Angola,1992,550.548264050147,4418.735,5779394291.7582,11002910.0
AGO,Angola,1993,551.688878141007,5801.194,5285600050.3455,11371750.0
AGO,Angola,1994,541.553066688467,3890.687,4059577145.36303,11742960.0
AGO,Angola,1995,528.386164349669,11012.001,5039534776.4902,12105105.0
AGO,Angola,1996,531.680254723364,10491.287,7526446605.51712,12452725.0
AGO,Angola,1997,531.736161548602,7381.671,7675412589.45525,12792237.0
AGO,Angola,1998,519.274348629747,7308.331,6445192203.74553,13138265.0
AGO,Angola,1999,531.897946760463,9156.499,6154480286.73835,13511575.0
AGO,Angola,2000,533.443417033279,9541.534,9129180360.52186,13926373.0
AGO,Angola,2001,542.4698802717,9732.218,8936023211.53323,14388244.0
AGO,Angola,2002,549.321868464362,12665.818,11431738445.4161,14890474.0
AGO,Angola,2003,568.512866746654,9064.824,13956268299.1078,15419943.0
AGO,Angola,2004,597.237843616716,18793.375,19775218957.9962,15957460.0
AGO,Angola,2005,551.955631568424,19156.408,30632364953.7518,16489021.0
AGO,Angola,2006,581.149517888093,22266.024,45163239832.4302,17010366.0
AGO,Angola,2007,605.808197911062,25151.953,60451594399.3951,17525367.0
AGO,Angola,2008,630.636694917453,24370.882,84178512502.4322,18037964.0
ALB,Albania,1990,809.215612301386,7488.014,2101624960.0,3289483.0
ALB,Albania,1991,565.8792810391,3971.361,1139166679.0665,3291695.0
ALB,Albania,1992,413.9412418124,2387.217,709452572.658102,3266983.0
ALB,Albania,1993,410.921451542233,2343.213,1228071037.41335,3224901.0
ALB,Albania,1994,443.46429342004,1928.842,1985673025.89461,3179442.0
ALB,Albania,1995,421.572747398843,2086.523,2424498952.88127,3141102.0
ALB,Albania,1996,454.236767560979,2016.85,3013217852.57366,3112597.0
ALB,Albania,1997,390.423111728638,1543.807,2196223713.8105,3091902.0
ALB,Albania,1998,423.029992819183,1752.826,2727745453.08283,3079037.0
ALB,Albania,1999,569.095509686028,2992.272,3434402453.41057,3072725.0
ALB,Albania,2000,574.984634696418,3028.942,3686649387.03405,3071856.0
ALB,Albania,2001,580.734963335671,3230.627,4091020249.36656,3077378.0
ALB,Albania,2002,642.287892528201,3751.341,4449373455.56632,3089778.0
ALB,Albania,2003,663.774531247133,4290.39,5652325081.59963,3106701.0
ALB,Albania,2004,640.551691739249,4004.364,7464446950.02559,3124861.0
ALB,Albania,2005,724.181361003247,4602.085,8376483740.48289,3141800.0
ALB,Albania,2006,679.845796451696,4231.718,9132562332.43024,3156607.0
ALB,Albania,2007,671.007503947578,4481.074,10704660840.2938,3169665.0
ALB,Albania,2008,649.924545726296,4176.713,12968653524.7799,3181397.0
ARE,United Arab Emirates,1990,11258.1323445989,52009.061,33653227968.2983,1808642.0
ARE,United Arab Emirates,1991,12262.38813035,57010.849,33919640389.9773,1909812.0
ARE,United Arab Emirates,1992,11058.790176233,58136.618,35412694052.5501,2014095.0
ARE,United Arab Emirates,1993,11039.3207535076,65980.331,35745300971.5725,2121704.0
ARE,United Arab Emirates,1994,11635.3088697615,73130.981,38268046815.0419,2232980.0
ARE,United Arab Emirates,1995,11754.3404644334,70641.088,42806864571.426,2348539.0
ARE,United Arab Emirates,1996,12607.8392616279,41059.399,47993462223.6228,2473983.0
ARE,United Arab Emirates,1997,11789.2924288083,41646.119,51209479652.5882,2611610.0
ARE,United Arab Emirates,1998,11596.1113367207,81495.408,48500477900.0416,2755497.0
ARE,United Arab Emirates,1999,11311.8840691769,78374.791,55193466518.727,2897038.0
ARE,United Arab Emirates,2000,11330.5956734337,112562.232,70591424755.7073,3033491.0
ARE,United Arab Emirates,2001,11857.9874517375,101333.878,68676925038.6647,3149440.0
ARE,United Arab Emirates,2002,12438.6474783628,84300.663,75284685608.6257,3254691.0
ARE,United Arab Emirates,2003,11784.9115499481,106365.002,88578899739.223,3400959.0
ARE,United Arab Emirates,2004,11570.7162465603,112877.594,103784073761.03,3658042.0
ARE,United Arab Emirates,2005,10623.7565271497,115627.844,132999867652.074,4069349.0
